Technological readiness,Comparing locations,Risks,Support,Governance,Knowledge availability,Sustainability,Costs
,,,,participatie bewoners,,,
,,,,informatieavond bewoners,,,
,,,,bewonersoverleg,,,
,,,,lokale bijeenkomst,,,
,,,,dialoog met bewoners,,,
,,,,openbare bijeenkomst,,,
,,,,publieke bijeenkomst,,,
,,,,participatieavond,,,
,,,,lokale inspraak,,,
,,,,open debat,,,
,,,,lokale consultatie,,,
,,,,participatiebijeenkomst,,,
,,,,bewonersdialoog,,,
,,,,lokale informatieavond,,,
,,,,bestemmingsplannen,,,
,,,,bestemmingsplan,,,
