Costs,Sustainability,Permitting & policy,Public acceptance,Technological (un)certainty,Infrastructure,Operational risk
Investitionen,emissionsarmem,Gesetz,Protestaktion,geologische Unsicherheit,Netzengpass,Bodensenkungen
Investitionskosten,dekarbonisiert,Gesetze,Protestaktionen,geologische Unsicherheiten,Netzengpässe,Bodenabsenkung
Investitionsaufwand,Dekarbonisierung,gesetzlich,protestieren,seismische Daten,Netzüberlastung,Bodenabsenkungen
Investitionsstrategie,klimaneutral,gesetzliche,protestiere,seismische Untersuchung,Netzüberlastungen,Setzung
Investitionsstrategien,klimaneutrale,gesetzlicher,,seismische Untersuchungen,,Setzungen
Finanzierung,klimaneutraler,gesetzliches,protestiert,seismische Messkampagne,,Absackung
Finanzierungen,klimaneutrales,gesetzlichen,protestierte,seismik-Kampagnen,,Absackungen
Finanzierungskosten,klimaneutralen,gesetzlichem,protestierten,Seismik,Netzverwaltung,Rissbildung
Finanzierungsbedarf,klimaneutralem,Regulierung,Anwohnerprotest,Untergrundmodell,Leitungsnetz,Rissbildungen
Finanzen,Klimaneutralität,Regulierungen,Anwohnerproteste,Untergrundmodelle,Leitungsnetze,Schadensriss
finanziell,klimafreundlich,Vorschrift,Bewohnerprotest,Reservoirmodell,Leitung,Schadensrisse
finanzielle,klimafreundliche,Vorschriften,Bewohnerproteste,Reservoirmodelle,Leitungen,Oberflächensenkung
finanzieller,klimafreundlicher,Regelwerk,Nachbarschaftsprotest,Reservoirdaten,Rohrleitung,Oberflächensenkungen
finanzielles,klimafreundliches,Regelwerke,Nachbarschaftsproteste,Reservoirdruck,Rohrleitungen,Leckage
finanziellen,klimafreundlichen,Genehmigung,Bürgerinitiative,Reservoiranalyse,Pipeline,Leckagen
finanziellem,klimafreundlichem,Genehmigungen,Bürgerinitiativen,Reservoiranalysen,Pipelines,Undichtigkeit
Subvention,klimabeständig,Genehmigungsantrag,Aktionsgruppe,Quellmodell,Wärmeleitung,Undichtigkeiten
subventioniert,,,,daten zum untergrund,Verteilnetzbetreiber,
Subventionen,klimabeständige,Genehmigungsanträge,Aktionsgruppen,Quellmodelle,Wärmeleitungen,Zwischenfall
gefördert,,,,,,
Förderung,klimabeständiger,Genehmigungsauflage,Beschwerde,Wärmefluss,Wärmenetz,Zwischenfälle
Förderungen,klimabeständiges,Genehmigungsauflagen,Beschwerden,Wärmeleistung,Wärmenetze,Incident
Fördermittel,klimabeständigen,Genehmigungsverfahren,Beschwerdeausschuss,Temperaturunsicherheit,Wärmenetzwerk,Incidents
Förderkosten,klimabeständigem,Genehmigungsprozess,Beschwerdekommission,Temperaturschätzung,Wärmenetzwerke,Störfall
Förderprogramm,Klimaziel,Genehmigungsprozesse,Unruhe,geothermischer Gradient,Fernwärme,Störfälle
Förderprogramme,Klimaziele,Genehmigungspfad,Kontroverse,geothermische Gradienten,Fernwärmenetz,Sicherheitsrisiko
Ertrag,,Genehmigungspfade,Kontroversen,Durchlässigkeit,Fernwärmenetze,Sicherheitsrisiken
Erträge,,Startgenehmigung,Bedenken,Durchflussrate,Stadtwärme,Sicherheit
Rendite,nachhaltig,Startgenehmigungen,Besorgnis,Volumenstrom,Stadtwärmenetz,Gefährdung
Renditen,nachhaltige,Aufsuchungsgenehmigung,Beunruhigung,Wasserproduktion,Wärmetauscher,Gefährdungen
Rentabilität,nachhaltiger,Aufsuchungsgenehmigungen,Solidarität,Mineralgehalt,Versorgungsleitung,gefährlicher Stoff
Wirtschaftlich,,,,,,
Wirtschaftlichkeit,nachhaltiges,Erkundungsgenehmigung,kollektiver Wert,mineralreich,Versorgungsleitungen,gefährliche Stoffe
Amortisationszeit,nachhaltigen,Erkundungsgenehmigungen,kollektive Werte,mineralreiche,Versorgungseinrichtung,schädlicher Stoff
Rückzahlungszeit,nachhaltigem,Genehmigungserteilung,Gemeinwohl,mineralreicher,Versorgungseinrichtungen,schädliche Stoffe
Gewinn,nachhaltigste,Raumordnungsplan,lokale Wirtschaft,mineralreiches,Versorgungsanlagen,Verunreinigung
Gewinne,nachhaltigster,Raumordnungspläne,Arbeitsplätze,mineralreichen,Nutzversorgung,Verunreinigungen
Einnahme,nachhaltigstes,Bebauungsplan,Arbeitsplatz,mineralreichem,,Verschmutzung
Einnahmen,nachhaltigsten,Bebauungspläne,Jobs,korrosiv,,Verschmutzungen
Absatz,Nachhaltigkeit,Flächennutzungsplan,Beschäftigung,korrosive,,Umweltverschmutzung
Absatzmarkt,erneuerbar,Flächennutzungspläne,Lärm,korrosiver,,Grundwasserverunreinigung
Absatzmärkte,erneuerbare,Planung,Baulärm,korrosives,,Grundwasserverunreinigungen
Selbstkostenpreis,erneuerbarer,Planungen,,korrosiven,,Grundwasserverschmutzung
Gestehungskosten,erneuerbares,Planungsprozess,Lärmbelastung,korrosivem,,Grundwasserverschmutzungen
Wärmegestehungskosten,erneuerbaren,Planungsprozesse,Lärmbelästigung,Messung,,Oberflächenwasserverunreinigung
Kostpreis,erneuerbarem,Planbildung,Geruchsbelästigung,Messungen,,Oberflächenwasserverunreinigungen
bezahlbar,erneuerbare Energie,Planverfahren,Gestank,Messdaten,,Oberflächenwasserverschmutzung
bezahlbare,erneuerbare Energien,Verfahren,stinken,Inventur,,Oberflächenwasserverschmutzungen
bezahlbarer,erneuerbare Wärme,Prozedur,,Inventuren,,Trinkwasser
bezahlbares,erneuerbare Stromversorgung,Prozeduren,Verkehrsbehinderungen,Bestandsaufnahme,,Trinkwasserverunreinigung
bezahlbaren,grüne Energie,Prozess,stinkt,Bestandsaufnahmen,,Trinkwasserverunreinigungen
bezahlbarem,grüne Energien,Prozesse,stank,Wissen,,Trinkwasserverschmutzung
Bezahlbarkeit,grüner Strom,Umweltverträglichkeitsprüfung,stanken,Kenntnisstand,,Trinkwasserverschmutzungen
günstig,grüne Elektrizität,Umweltverträglichkeitsprüfungen,Staubbelästigung,Forschung,,
günstige,grüne Wärme,Umweltbericht,Staub,Erkundungsbohrung,,
günstiger,grüne Technologie,Umweltberichte,Lichtbelästigung,Erkundungsbohrungen,,
günstiges,grüne Technologien,Umweltprüfung,Lichtverschmutzung,Explorationsbohrung,,
günstigen,saubere Energie,Umweltprüfungen,Verkehrsbelastung,Explorationsbohrungen,,
günstigem,saubere Energien,UVP,Belästigung,Explorationsbrunnen,,
günstigste,sauberer Strom,UVP-Verfahren,Belästigungen,Probebohrung,,
günstigster,saubere Wärme,Umweltfolgenabschätzung,Behinderung,Probebohrungen,,
günstigstes,saubere Wärmeversorgung,Umweltfolgenabschätzungen,Behinderungen,Testbohrung,,
günstigsten,Umweltgewinn,Bürgerbeteiligung,Komfort,Testbohrungen,,
billig,Umweltgewinne,Bürgerbeteiligungen,Komfortempfinden,Bohrergebnis,,
billige,Umweltnutzen,Öffentlichkeitsbeteiligung,Wohnkomfort,Bohrergebnisse,,
billiger,Versorgungssicherheit,Öffentlichkeitsbeteiligungen,Gewohnheit,misslungene Bohrung,,
billiges,kontinuierliche Energie,Beteiligung,Gewohnheiten,fehlgeschlagene Bohrung,,
billigen,kontinuierlicher Energiefluss,Beteiligungen,Lebensstil,fehlgeschlagene Bohrungen,,
billigem,kontinuierliche Wärme,Beteiligungsabend,Lebensstile,Pilot,,
teuer,kontinuierliche Wärmeversorgung,Beteiligungsabende,Heizgewohnheit,Piloten,,
teure,dauerhafte Energiequelle,Beteiligungsprozess,Heizgewohnheiten,Pilotphase,,
teurer,dauerhafte Energiequellen,Beteiligungsprozesse,Heizpräferenz,Pilotphasen,,
teures,ständig verfügbar,Mitwirkung,Heizpräferenzen,Pilotprojekt,,
teuren,unerschöpflich,Mitspracherecht,Kochgewohnheit,Pilotprojekte,,
teurem,unerschöpfliche,Anhörung,Kochgewohnheiten,Demoprojekt,,
teuerste,unerschöpflicher,Anhörungen,Ofen,Demoprojekte,,
teuerster,unerschöpfliches,Informationsabend,Öfen,Prototyp,,
teuerstes,unerschöpflichen,Informationsabende,Kaminofen,Prototypen,,
teuersten,unerschöpflichem,Bewohnerabend,Kaminöfen,Testphase,,
kostspielig,klima,Bewohnerabende,Tradition,Testphasen,,
kostspielige,Klimaschutz,Anwohnerabend,Traditionen,Testaufbau,,
kostspieliger,Kohlenstoffneutral,Anwohnerabende,Identität,Testaufbauten,,
kostspieliges,Kohlenstoffneutrale,Bürgerabend,sorgen,Versuchsaufbau,,
kostspieligen,Kohlenstoffneutraler,Bürgerabende,besorgt,Versuchsaufbauten,,
kostspieligem,Kohlenstoffneutrales,Bewohnergespräch,wirtschaft vor ort,Versuchsanlage,,
abbezahlt,Kohlenstoffneutralen,Bewohnergespräche,regionale wirtschaft,Versuchsanlagen,,
abbezahlen,Kohlenstoffneutralem,Anwohnergespräch,regionalwirtschaft,Demonstrationsanlage,,
,Kohlenstoffdioxidmission,Anwohnergespräche,,Demonstrationsanlagen,,
,Kohlenstoffreduktion,Dialog,,Reallabor,,
,Kohlenstoffemission,Dialoge,,Reallabore,,
abbezahlten,Kohlenstoffemissionen,Debatte,,,,
profit,Kohlenstoffausstoß,Debatten,,Skalierung,,
,Klimawandel,öffentliche Debatte,,Hochskalierung,,
,Klimakriese,öffentliche Debatten,,Skalierbarkeit,,
,fossile Abhängigkeit,gesellschaftliche Diskussion,,Entwicklungsphase,,
,,gesellschaftliche Diskussionen,,Entwicklungsphasen,,
,,Freigabe,,Anlaufphase,,
,,politischer Rahmen,,Anlaufphasen,,
,,Bürgergespräch,,frühes Stadium,,
,,Bürgergespräche,,Kinderschuhen,,
,,,,Erfolgsquote,,
,,,,Erfolgswahrscheinlichkeit,,
,,,,technische Unsicherheit,,
,,,,technische Unsicherheiten,,
,,,,experimentell,,
,,,,experimentelle,,
,,,,experimenteller,,
,,,,experimentelles,,
,,,,experimentellen,,
,,,,experimentellem,,
,,,,misslungene Bohrungen,,
,,,,Demonstrationsproject,,
,,,,Hochskalieren,,
