Technological readiness,Comparing locations,Risks,Support,Governance,Knowledge availability,Sustainability,Costs
configurazione di prova,progetto comparativo,zona di rischio,dibattito pubblico,variante al piano regolatore,modellazione del serbatoio,energia priva di CO2,budget operativo
test di concetto,impianti di riferimento,pericolo sismico,resistenza locale,decisione di progetto,stima della temperatura,resistente al clima,investimento di progetto
fase di sviluppo,progetto di successo,magnitudo,resistenza sociale,politica governativa,analisi della portata,fonte di energia pulita,costi di finanziamento
percorso di sviluppo,risultato benchmark di progetto,misurazioni sismiche,scetticismo dei residenti,decisione politica,test idraulico,fonte di energia sostenibile,investimento operativo
stadio di sviluppo,dati benchmark di progetto,rete di monitoraggio sismico,preoccupazione dei residenti,normativa energetica,caratterizzazione del serbatoio,energia senza emissioni,fabbisogno di capitale
esperienza pratica,esempio di riferimento,scosse di assestamento,preoccupazioni dei residenti,concessione del permesso,risultato della perforazione,fonte di energia verde,rendimento del progetto
esperienza operativa,esempio internazionale,scossa sismica,discussione sociale,costi della procedura di progetto,tasso di successo,soluzione climatica,struttura dei costi
scalabilita,confronto internazionale tra progetti,vibrazioni sismiche,,processo politico,rendimento della fonte,fonte di calore rinnovabile,analisi dei costi
espansione di scala,risultati pratici all'estero,attivita di faglia,,approvazione governativa,pressione del serbatoio,fornitura di calore pulito,pianificazione finanziaria
sviluppo tecnologico,caso di progetto all'estero,accelerazione del suolo,,valutazione ambientale,permeabilita,fornitura di calore sostenibile,analisi dei costi di progetto
test tecnologico,caso di riferimento all'estero,sismogramma,,verifica ambientale,flusso di calore,energia a basse emissioni di CO2,budget di progetto
sviluppo del sistema,studio benchmark,cluster sismico,,valutazione degli impatti ambientali,gradiente geotermico,energia climaticamente neutrale,finanze di progetto
sviluppo del progetto,studio benchmark di progetto,tensione nel sottosuolo,,requisito autorizzativo,riserve naturali di calore,transizione energetica verde,pianificazione dei costi
processo di innovazione,valutazione del progetto all'estero,dinamica del serbatoio,,processo normativo,stabilita del serbatoio,fornitura energetica sostenibile,struttura di finanziamento
sviluppo della tecnica,esperienza di progetto all'estero,rischio sismico,,procedura governativa,acqua di formazione,transizione energetica pulita,modello di finanziamento
impianto pilota,benchmark internazionale,danni da terremoti,,processo decisionale governativo,dinamica del serbatoio,calore CO2 neutrale,analisi del budget di progetto
versione dimostrativa,benchmark di progetto internazionale,registrazione delle scosse,,approvazione del progetto,misurazione del flusso di calore,energia rispettosa del clima,stima dei costi di progetto
prova tecnologica,confronto di progetto europeo,intensita sismica,,decisione normativa,dati geotermici,fornitura di calore verde,analisi finanziaria
implementazione pratica,Islanda,misurazioni sismiche,,normativa geotermica,dati di analisi del serbatoio,soluzione di calore sostenibile,modello di finanziamento del progetto
impianto di test pratico,Hellisheidi,monitoraggio sismico,,normativa sul calore,permeabilita del sottosuolo,fornitura di calore rinnovabile,strategia di investimento
impianto di prova,Italia,rete di monitoraggio sismico,,permesso per progetto termico,riserva geologica di calore,fonte di calore pulita,investimenti di progetto
impianto di test,Larderello,monitoraggio sismico,,processo autorizzativo,serbatoio termico,produzione di calore sostenibile,pianificazione dei costi di progetto
area sperimentale,Svizzera,misurazione dell'attivita sismica,,decisione amministrativa,flusso di calore permanente,calore climaticamente neutrale,calcolo dei costi
laboratorio di transizione,San Gallo,analisi sismica,,quadro politico energetico,formazione acquifera,infrastruttura energetica sostenibile,analisi dei costi di progetto
,Corea del Sud,analisi del rischio sismico,,normativa per progetto energetico,sistema idrotermale,infrastruttura di calore pulito,analisi finanziaria di progetto
,Pohang,analisi del rischio sismico,,permesso governativo,misurazione della permeabilita del sottosuolo,,struttura del finanziamento di progetto
,Germania,sensibilita ai terremoti,,permesso per progetto energetico,geologia del progetto,,struttura degli investimenti
,Munningen,compattazione,,normativa per infrastruttura energetica,conoscenza,,struttura dei costi di progetto
,Turingia,cedimento,,permesso infrastrutturale,,,economico
,Staufen im Breisgau,cedimento del terreno,,partecipazione dei cittadini,,,piu economico
,Boxtel,,,processo di partecipazione,,,costoso
,Barendrecht,,,serata informativa,,,piu costoso
,,,,partecipazione,,,
,,,,comunicazione con i residenti,,,
,,,,dibattito sociale,,,
,,,,partecipazione dei residenti,,,
,,,,dibattito,,,
,,,,partecipazione dei residenti,,,
,,,,serata informativa per i residenti,,,
,,,,consultazione dei residenti,,,
,,,,riunione locale,,,
,,,,dialogo con i residenti,,,
,,,,riunione pubblica,,,
,,,,incontro pubblico,,,
,,,,serata di partecipazione,,,
,,,,consultazione locale,,,
,,,,dibattito aperto,,,
,,,,consultazione locale,,,
,,,,riunione di partecipazione,,,
,,,,dialogo con i residenti,,,
,,,,serata informativa locale,,,
,,,,piani regolatori,,,
,,,,piano regolatore,,,
