Costs;Sustainability;Permitting & policy;Public acceptance;Technological uncertainty;Infrastructure;Operational Risk
;;Genehmigungserteilung;Aktionsgruppen;seismische Untersuchung;;
;;Gesetz;Anwohnerproteste;Seismische Kampagne Geothermie Niederlande;;
;;gesetzlicher Rahmen;Kontroversen;seismische Daten;;
;;Gesetze;Baulärmquellen;seismische Untersuchungen;;
;;Politikprozesse;Öfen;Erfolgsquote;;
;;Beteiligungsprozesse;kollektiver Wert;Temperaturunsicherheit;;
;;Anhörungsverfahren plural;;Temperaturschätzung;;
;;Informationsabende;;Testbohrung;;
;;gesellschaftliche Diskussionen;;Testbohrungen;;
;;Startgenehmigungen;;Testphase;;
;;Genehmigungsanforderungen;;Testaufbau;;
;;;;Vibrationsfahrzeug;;
;;;;Vibrationsfahrzeuge;;
;;;;vergleichbare Region;;
;;;;Wärmefluss;;
;;;;Wärmeleistung;;
;;;;Wasserproduktion;;
;;;;Quellmodelle;;
;;;;korrosive Medien;;
;;;;vergleichbare Regionen;;
;;;;Reservoiranalysen;;
;;;;Prototypen;;
;;;;Testaufbauten;;
