Costs,Sustainability,Permitting & policy,Public acceptance,Technological (un)certainty,Infrastructure,Operational risk
economico,inesauribile,verifiche ambientali,carico acustico,ricca di minerali,,inquinamenti
economica,inesauribili,valutazione ambientale,disturbo acustico,ricchi di minerali,,acqua potabile
economici,clima,valutazioni ambientali,inquinamento acustico,ricche di minerali,,post sisma
economiche,climatico,coinvolgimento,fastidio,corrosivo,,
costoso,climatica,coinvolgimenti,fastidi,corrosiva,,
costosa,climatici,consultazione,disagio,corrosivi,,
costosi,climatiche,consultazioni,disagi,corrosive,,
costose,,incontro informativo,odore,misurazione,,
caro,,incontri informativi,odori,misurazioni,,
cara,,serata informativa,puzza,misura,,
cari,,serate informative,puzze,misure,,
care,,incontro con i residenti,puzzare,inventario,,
ripagato,,incontri con i residenti,puzzo,inventari,,
ripagata,,assemblea pubblica,puzzi,ricognizione,,
ripagati,,assemblee pubbliche,puzziamo,ricognizioni,,
ripagate,,dialogo,puzzate,conoscenza,,
ripagare,,dialoghi,puzzano,ricerca,,
ripago,,dibattito,polvere,sondaggio esplorativo,,
ripaghi,,dibattiti,inquinamento luminoso,sondaggi esplorativi,,
ripaga,,discussione pubblica,disturbo luminoso,pozzo esplorativo,,
ripaghiamo,,discussioni pubbliche,traffico aggiuntivo,pozzi esplorativi,,
ripagano,,discussione sociale,carico di traffico,perforazione esplorativa,,
payback time,,discussioni sociali,comfort,perforazioni esplorative,,
sostegno,,approvazione,abitudine,perforazione di prova,,
,,via libera,abitudini,perforazioni di prova,,
,,participazione,stile di vita,sondaggio di prova,,
,,participazioni,stili di vita,sondaggi di prova,,
,,,preferenza di riscaldamento,risultato di perforazione,,
,,,preferenze di riscaldamento,risultati di perforazione,,
,,,abitudine di riscaldamento,perforazione fallita,,
,,,abitudini di riscaldamento,perforazioni fallite,,
,,,cottura,pilota,,
,,,stufa,piloti,,
,,,stufe,progetto dimostrativo,,
,,,caldaia domestica,progetti dimostrativi,,
,,,caldaie domestiche,prototipo,,
,,,tradizione,prototipi,,
,,,tradizioni,fase di test,,
,,,identità,fasi di test,,
,,,più trafico,configurazione di test,,
,,,,configurazioni di test,,
,,,,impianto di prova,,
,,,,impianti di prova,,
,,,,installazione di prova,,
,,,,installazioni di prova,,
,,,,living lab,,
,,,,,,
,,,,scalabilità,,
,,,,scaling,,
,,,,,,
,,,,fase di sviluppo,,
,,,,fasi di sviluppo,,
,,,,fase iniziale,,
,,,,fasi iniziali,,
,,,,fase di avvio,,
,,,,fasi di avvio,,
,,,,agli inizi,,
,,,,percentuale di successo,,
,,,,probabilità di successo,,
,,,,incertezza tecnica,,
,,,,incertezze tecniche,,
,,,,sperimentale,,
,,,,sperimentali,,
,,,,esperimento,,
,,,,esperimenti,,
,,,,pressione di serbatoio,,
,,,,produzione di acqua,,
,,,,perforazione fallimentare,,
,,,,perforazioni fallimentari,,
,,,,fase di prova,,
,,,,fasi di prova,,
,,,,configurazione di prova,,
,,,,configurazioni di prova,,
,,,,all'inizio,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
